0,1,2
sh.600030,sh.600519,sh.600028
sh.600048,sh.601288,sh.600031
sh.600089,sh.601328,sh.600036
sh.600104,sh.601398,sh.600050
sh.600309,sh.601658,sh.600150
sh.600406,sh.601668,sh.600276
sh.600436,sh.601669,sh.600900
sh.600438,sh.601988,sh.600941
sh.600690,,sh.601088
sh.600809,,sh.601166
sh.600887,,sh.601225
sh.601012,,sh.601318
sh.601601,,sh.601390
sh.601628,,sh.601728
sh.601633,,sh.601857
sh.601888,,sh.601899
sh.603259,,sh.601919
sh.603288,,sh.601985
sh.603501,,
sh.603986,,
sh.688012,,
sh.688041,,
sh.688111,,
sh.688981,,
